observation_date,DGS3
2015-12-22,1.31
2015-12-23,1.32
2015-12-24,1.33
2015-12-25,
2015-12-28,1.33
2015-12-29,1.38
2015-12-30,1.36
2015-12-31,1.31
2016-01-01,
2016-01-04,1.31
2016-01-05,1.32
2016-01-06,1.26
2016-01-07,1.22
2016-01-08,1.20
2016-01-11,1.20
2016-01-12,1.18
2016-01-13,1.15
2016-01-14,1.14
2016-01-15,1.08
2016-01-18,
2016-01-19,1.11
2016-01-20,1.06
2016-01-21,1.06
2016-01-22,1.11
2016-01-25,1.10
2016-01-26,1.07
2016-01-27,1.07
2016-01-28,1.05
2016-01-29,0.97
2016-02-01,1.01
2016-02-02,0.93
2016-02-03,0.91
2016-02-04,0.90
2016-02-05,0.91
2016-02-08,0.83
2016-02-09,0.85
2016-02-10,0.85
2016-02-11,0.81
2016-02-12,0.89
2016-02-15,
2016-02-16,0.91
2016-02-17,0.93
2016-02-18,0.88
2016-02-19,0.91
2016-02-22,0.92
2016-02-23,0.90
2016-02-24,0.90
2016-02-25,0.85
2016-02-26,0.93
2016-02-29,0.91
2016-03-01,0.98
2016-03-02,1.00
2016-03-03,0.99
2016-03-04,1.04
2016-03-07,1.08
2016-03-08,1.04
2016-03-09,1.07
2016-03-10,1.11
2016-03-11,1.16
2016-03-14,1.15
2016-03-15,1.16
2016-03-16,1.05
2016-03-17,1.04
2016-03-18,1.00
2016-03-21,1.05
2016-03-22,1.08
2016-03-23,1.03
2016-03-24,1.05
2016-03-25,
2016-03-28,1.04
2016-03-29,0.94
2016-03-30,0.91
2016-03-31,0.87
2016-04-01,0.90
2016-04-04,0.88
2016-04-05,0.85
2016-04-06,0.88
2016-04-07,0.83
2016-04-08,0.84
2016-04-11,0.85
2016-04-12,0.90
2016-04-13,0.90
2016-04-14,0.92
2016-04-15,0.87
2016-04-18,0.90
2016-04-19,0.92
2016-04-20,0.97
2016-04-21,0.98
2016-04-22,1.01
2016-04-25,1.01
2016-04-26,1.04
2016-04-27,0.99
2016-04-28,0.93
2016-04-29,0.92
2016-05-02,0.96
2016-05-03,0.92
2016-05-04,0.89
2016-05-05,0.87
2016-05-06,0.90
2016-05-09,0.86
2016-05-10,0.88
2016-05-11,0.87
2016-05-12,0.92
2016-05-13,0.91
2016-05-16,0.94
2016-05-17,0.97
2016-05-18,1.08
2016-05-19,1.06
2016-05-20,1.05
2016-05-23,1.05
2016-05-24,1.08
2016-05-25,1.08
2016-05-26,1.03
2016-05-27,1.06
2016-05-30,
2016-05-31,1.03
2016-06-01,1.07
2016-06-02,1.03
2016-06-03,0.92
2016-06-06,0.94
2016-06-07,0.94
2016-06-08,0.93
2016-06-09,0.91
2016-06-10,0.87
2016-06-13,0.84
2016-06-14,0.85
2016-06-15,0.81
2016-06-16,0.81
2016-06-17,0.83
2016-06-20,0.87
2016-06-21,0.89
2016-06-22,0.88
2016-06-23,0.92
2016-06-24,0.76
2016-06-27,0.70
2016-06-28,0.71
2016-06-29,0.74
2016-06-30,0.71
2016-07-01,0.71
2016-07-04,
2016-07-05,0.66
2016-07-06,0.69
2016-07-07,0.69
2016-07-08,0.71
2016-07-11,0.77
2016-07-12,0.81
2016-07-13,0.80
2016-07-14,0.82
2016-07-15,0.87
2016-07-18,0.85
2016-07-19,0.84
2016-07-20,0.86
2016-07-21,0.82
2016-07-22,0.84
2016-07-25,0.87
2016-07-26,0.87
2016-07-27,0.83
2016-07-28,0.82
2016-07-29,0.76
2016-08-01,0.78
2016-08-02,0.79
2016-08-03,0.78
2016-08-04,0.76
2016-08-05,0.86
2016-08-08,0.86
2016-08-09,0.84
2016-08-10,0.80
2016-08-11,0.88
2016-08-12,0.82
2016-08-15,0.85
2016-08-16,0.87
2016-08-17,0.86
2016-08-18,0.81
2016-08-19,0.88
2016-08-22,0.86
2016-08-23,0.86
2016-08-24,0.87
2016-08-25,0.89
2016-08-26,0.96
2016-08-29,0.92
2016-08-30,0.92
2016-08-31,0.92
2016-09-01,0.91
2016-09-02,0.92
2016-09-05,
2016-09-06,0.86
2016-09-07,0.86
2016-09-08,0.91
2016-09-09,0.93
2016-09-12,0.92
2016-09-13,0.95
2016-09-14,0.90
2016-09-15,0.87
2016-09-16,0.91
2016-09-19,0.92
2016-09-20,0.93
2016-09-21,0.92
2016-09-22,0.91
2016-09-23,0.90
2016-09-26,0.87
2016-09-27,0.86
2016-09-28,0.87
2016-09-29,0.85
2016-09-30,0.88
2016-10-03,0.91
2016-10-04,0.95
2016-10-05,0.98
2016-10-06,1.00
2016-10-07,0.99
2016-10-10,
2016-10-11,1.03
2016-10-12,0.99
2016-10-13,1.00
2016-10-14,1.00
2016-10-17,0.98
2016-10-18,0.96
2016-10-19,0.96
2016-10-20,0.98
2016-10-21,0.98
2016-10-24,1.00
2016-10-25,1.00
2016-10-26,1.01
2016-10-27,1.04
2016-10-28,1.02
2016-10-31,1.00
2016-11-01,0.99
2016-11-02,0.98
2016-11-03,0.98
2016-11-04,0.95
2016-11-07,0.99
2016-11-08,1.04
2016-11-09,1.12
2016-11-10,1.17
2016-11-11,
2016-11-14,1.27
2016-11-15,1.28
2016-11-16,1.28
2016-11-17,1.31
2016-11-18,1.36
2016-11-21,1.36
2016-11-22,1.35
2016-11-23,1.40
2016-11-24,
2016-11-25,1.41
2016-11-28,1.38
2016-11-29,1.37
2016-11-30,1.40
2016-12-01,1.45
2016-12-02,1.40
2016-12-05,1.42
